Name,Problem Statement in brief,Category,Comments
WAR_Game_with_Python.ipynb,War Game is a card game,,
,,,
Python_practice_1, Factor; GCD; LCM; K-th Largest in the list; Fibonacci; Prime Number; Factorial; Palindrom; Perfect Number; Pattern Printing,,,
